event,ID,start,end,participant,duration,complete
Task 1,,2023-05-04 00:00:00,2023-05-04 00:00:22,P6,22.0,True
FilterSetCreated,2146756685,2023-05-04 00:00:00,2023-05-04 00:00:22,P6,22.0,False
FilterSetCreated,2146756456,2023-05-04 00:00:22,2023-05-04 00:00:54,P6,25.0,True
Task 2,,2023-05-04 00:00:47,2023-05-04 00:00:54,P6,7.0,True
FilterSetUpdated,2146756456,2023-05-04 00:00:54,2023-05-04 00:01:59,P6,2.0,True
Task 3,,2023-05-04 00:01:59,2023-05-04 00:02:05,P6,6.0,True
FilterSetCreated,2146756290,2023-05-04 00:02:05,2023-05-04 00:02:15,P6,10.0,False
FilterSetCreated,2146756054,2023-05-04 00:02:15,2023-05-04 00:02:50,P6,5.0,True
FilterSetCreated,2146755890,2023-05-04 00:02:50,2023-05-04 00:03:00,P6,10.0,True
FilterSetCreated,2146755339,2023-05-04 00:03:00,2023-05-04 00:03:14,P6,2.0,True
FilterSetCreated,2146755183,2023-05-04 00:03:14,2023-05-04 00:03:29,P6,4.0,True
FilterSetCreated,2146755027,2023-05-04 00:03:29,2023-05-04 00:03:58,P6,4.0,True
FilterSetCreated,2146754871,2023-05-04 00:03:58,2023-05-04 00:04:16,P6,4.0,True
FilterSetCreated,2146754715,2023-05-04 00:04:16,2023-05-04 00:04:58,P6,2.0,True
FilterSetDestroyed,2146754871,2023-05-04 00:04:58,2023-05-04 00:04:59,P6,1.0,True
FilterSetDestroyed,2146754715,2023-05-04 00:04:59,2023-05-04 00:05:00,P6,1.0,True
FilterSetDestroyed,2146755027,2023-05-04 00:05:00,2023-05-04 00:05:01,P6,1.0,True
FilterSetUpdated,2146755339,2023-05-04 00:05:01,2023-05-04 00:05:07,P6,2.0,True
FilterSetDestroyed,2146755183,2023-05-04 00:05:07,2023-05-04 00:05:10,P6,3.0,True
FilterSetCreated,2146754539,2023-05-04 00:05:10,2023-05-04 00:05:21,P6,2.0,True
FilterSetCreated,2146754383,2023-05-04 00:05:21,2023-05-04 00:05:32,P6,3.0,True
FilterSetCreated,2146754227,2023-05-04 00:05:32,2023-05-04 00:05:42,P6,3.0,True
FilterSetCreated,2146754071,2023-05-04 00:05:42,2023-05-04 00:05:53,P6,2.0,True
FilterSetCreated,2146753915,2023-05-04 00:05:53,2023-05-04 00:06:02,P6,1.0,True
FilterSetCreated,2146753759,2023-05-04 00:06:02,2023-05-04 00:06:10,P6,2.0,True
FilterSetCreated,2146753603,2023-05-04 00:06:10,2023-05-04 00:06:20,P6,2.0,True
FilterSetCreated,2146753447,2023-05-04 00:06:20,2023-05-04 00:06:27,P6,2.0,True
FilterSetCreated,2146753291,2023-05-04 00:06:27,2023-05-04 00:07:32,P6,3.0,True
FilterSetDestroyed,2146753759,2023-05-04 00:07:32,2023-05-04 00:07:37,P6,5.0,True
FilterSetDestroyed,2146753603,2023-05-04 00:07:37,2023-05-04 00:07:40,P6,3.0,True
FilterSetDestroyed,2146753447,2023-05-04 00:07:40,2023-05-04 00:07:43,P6,3.0,True
FilterSetDestroyed,2146754071,2023-05-04 00:07:43,2023-05-04 00:07:46,P6,3.0,True
FilterSetDestroyed,2146753291,2023-05-04 00:07:46,2023-05-04 00:07:56,P6,10.0,True
FilterSetDestroyed,2146754227,2023-05-04 00:07:56,2023-05-04 00:07:58,P6,2.0,True
FilterSetDestroyed,2146754383,2023-05-04 00:07:58,2023-05-04 00:08:00,P6,2.0,True
FilterSetCreated,2146753107,2023-05-04 00:08:00,2023-05-04 00:08:03,P6,3.0,False
FilterSetDestroyed,2146754539,2023-05-04 00:08:03,2023-05-04 00:08:08,P6,5.0,True
FilterSetCreated,2146752948,2023-05-04 00:08:08,2023-05-04 00:08:38,P6,2.0,True
FilterSetDestroyed,2146755890,2023-05-04 00:08:38,2023-05-04 00:08:44,P6,6.0,True
FilterSetCreated,2146752784,2023-05-04 00:08:44,2023-05-04 00:08:53,P6,2.0,True
FilterSetCreated,2146752624,2023-05-04 00:08:53,2023-05-04 00:09:38,P6,2.0,True
FilterSetCreated,2146752464,2023-05-04 00:09:38,2023-05-04 00:09:46,P6,2.0,True
FilterSetDestroyed,2146753915,2023-05-04 00:09:46,2023-05-04 00:09:52,P6,6.0,True
FilterSetDestroyed,2146752464,2023-05-04 00:09:52,2023-05-04 00:10:06,P6,14.0,True
Task 4,,2023-05-04 00:10:06,2023-05-04 00:10:08,P6,2.0,True
FilterSetCreated,2146752300,2023-05-04 00:10:08,2023-05-04 00:10:20,P6,5.0,True
FilterSetCreated,2146752144,2023-05-04 00:10:20,2023-05-04 00:10:25,P6,1.0,True
FilterSetUpdated,2146752300,2023-05-04 00:10:25,2023-05-04 00:10:37,P6,1.0,True
FilterSetUpdated,2146752144,2023-05-04 00:10:37,2023-05-04 00:11:04,P6,2.0,True
FilterSetUpdated,2146752300,2023-05-04 00:11:04,2023-05-04 00:11:20,P6,15.0,True
FilterSetDestroyed,2146752144,2023-05-04 00:11:20,2023-05-04 00:11:28,P6,8.0,True
Task 5,,2023-05-04 00:11:28,2023-05-04 00:11:41,P6,13.0,True
FilterSetCreated,2146751980,2023-05-04 00:11:41,2023-05-04 00:11:59,P6,17.0,True
FilterSetCreated,2146751820,2023-05-04 00:11:59,2023-05-04 00:12:02,P6,3.0,False
FilterSetCreated,2146751581,2023-05-04 00:12:02,2023-05-04 00:12:24,P6,10.0,True
FilterSetCreated,2146751418,2023-05-04 00:12:24,2023-05-04 00:12:29,P6,5.0,False
FilterSetCreated,2146751179,2023-05-04 00:12:29,2023-05-04 00:13:04,P6,21.0,True
FilterSetCreated,2146751016,2023-05-04 00:13:04,2023-05-04 00:13:06,P6,2.0,False
FilterSetCreated,2146750824,2023-05-04 00:13:06,2023-05-04 00:13:29,P6,2.0,True
FilterSetCreated,2146750708,2023-05-04 00:13:29,2023-05-04 00:13:31,P6,2.0,False
FilterSetCreated,2146750479,2023-05-04 00:13:31,2023-05-04 00:13:38,P6,7.0,False
FilterSetCreated,2146750324,2023-05-04 00:13:38,2023-05-04 00:14:54,P6,3.0,False
FilterSetUpdated,2146750708,2023-05-04 00:14:54,2023-05-04 00:15:04,P6,10.0,False
Task 6,,2023-05-04 00:15:04,2023-05-04 00:15:07,P6,3.0,True
